frame_stamp,node,latency_ms
1774797671.391513525,pointcloud_player,3.600
1774797671.391513525,cluster_detector,9.801
1774797671.491582878,pointcloud_player,0.865
1774797671.491582878,cluster_detector,5.604
1774797670.391474134,bev_projection,1175.071
1774797671.591529815,pointcloud_player,0.913
1774797671.591529815,cluster_detector,4.174
1774797671.691519012,pointcloud_player,0.820
1774797671.691519012,cluster_detector,4.391
1774797670.591533543,bev_projection,1146.908
1774797671.791444321,pointcloud_player,0.762
1774797671.791444321,cluster_detector,4.072
1774797671.891533845,pointcloud_player,0.798
1774797671.891533845,cluster_detector,3.548
1774797670.791538779,bev_projection,1113.643
1774797671.991594362,pointcloud_player,0.800
1774797671.991594362,cluster_detector,2.750
1774797670.991529816,bev_projection,1090.797
1774797672.091498041,pointcloud_player,0.681
1774797672.091498041,cluster_detector,3.730
1774797672.191650184,pointcloud_player,0.844
1774797672.191650184,cluster_detector,4.228
1774797671.091503286,bev_projection,1151.366
1774797672.291504651,pointcloud_player,0.811
1774797672.291504651,cluster_detector,4.505
1774797672.391515003,pointcloud_player,0.796
1774797672.391515003,cluster_detector,3.405
1774797671.291626898,bev_projection,1117.974
1774797672.491690863,pointcloud_player,0.859
1774797672.491690863,cluster_detector,2.715
1774797671.491582878,bev_projection,1097.427
1774797672.591485043,pointcloud_player,1.860
1774797672.591485043,cluster_detector,10.290
1774797672.691408774,pointcloud_player,0.808
1774797672.691408774,cluster_detector,4.670
1774797671.591529815,bev_projection,1167.070
1774797672.791488988,pointcloud_player,0.761
1774797672.791488988,cluster_detector,4.574
1774797672.891632798,pointcloud_player,1.006
1774797672.891632798,cluster_detector,4.497
1774797671.791444321,bev_projection,1140.189
1774797672.991493240,pointcloud_player,0.756
1774797672.991493240,cluster_detector,4.410
1774797673.091521640,pointcloud_player,0.834
1774797673.091521640,cluster_detector,3.699
1774797671.991594362,bev_projection,1114.311
1774797673.191526730,pointcloud_player,0.880
1774797673.191526730,cluster_detector,4.374
1774797672.191650184,bev_projection,1084.272
1774797673.291470475,pointcloud_player,0.744
1774797673.291470475,cluster_detector,3.667
1774797673.391533354,pointcloud_player,0.704
1774797673.391533354,cluster_detector,4.169
1774797672.291504651,bev_projection,1164.554
1774797673.491472837,pointcloud_player,0.734
1774797673.491472837,cluster_detector,4.158
1774797673.591706022,pointcloud_player,0.766
1774797673.591706022,cluster_detector,4.074
1774797672.491690863,bev_projection,1133.700
1774797673.691558159,pointcloud_player,0.757
1774797673.691558159,cluster_detector,3.753
1774797673.791475212,pointcloud_player,0.645
1774797672.691408774,bev_projection,1104.022
1774797673.791475212,cluster_detector,14.933
1774797673.891505368,pointcloud_player,0.759
1774797673.891505368,cluster_detector,2.492
1774797672.891632798,bev_projection,1076.307
1774797673.991500880,pointcloud_player,0.654
1774797673.991500880,cluster_detector,2.851
1774797674.091695092,pointcloud_player,0.768
1774797674.091695092,cluster_detector,3.239
1774797672.991493240,bev_projection,1150.611
1774797674.191474143,pointcloud_player,0.633
1774797674.191474143,cluster_detector,3.525
1774797674.291763946,pointcloud_player,0.828
1774797674.291763946,cluster_detector,3.506
1774797673.191526730,bev_projection,1122.274
1774797674.391513336,pointcloud_player,0.970
1774797674.391513336,cluster_detector,3.327
1774797673.391533354,bev_projection,1090.522
1774797674.491502126,pointcloud_player,0.680
1774797674.491502126,cluster_detector,4.799
1774797674.591606281,pointcloud_player,0.970
1774797674.591606281,cluster_detector,3.476
1774797673.491472837,bev_projection,1164.313
1774797674.691530589,pointcloud_player,0.710
1774797674.691530589,cluster_detector,2.742
1774797674.791457470,pointcloud_player,0.773
1774797674.791457470,cluster_detector,3.593
1774797673.691558159,bev_projection,1137.552
1774797674.891509142,pointcloud_player,0.770
1774797674.891509142,cluster_detector,2.605
1774797674.991678322,pointcloud_player,1.185
1774797674.991678322,cluster_detector,2.516
1774797673.891505368,bev_projection,1114.504
1774797675.091532309,pointcloud_player,0.818
1774797675.091532309,cluster_detector,3.356
1774797674.091695092,bev_projection,1092.039
1774797675.191523295,pointcloud_player,0.994
1774797675.191523295,cluster_detector,4.541
1774797675.291517774,pointcloud_player,0.813
1774797675.291517774,cluster_detector,3.518
1774797674.191474143,bev_projection,1166.442
1774797675.391453910,pointcloud_player,0.778
1774797675.391453910,cluster_detector,2.940
1774797675.491510016,pointcloud_player,0.946
1774797675.491510016,cluster_detector,4.018
1774797674.391513336,bev_projection,1141.351
1774797675.591391109,pointcloud_player,0.712
1774797675.591391109,cluster_detector,3.419
1774797675.691494541,pointcloud_player,0.867
1774797675.691494541,cluster_detector,4.043
1774797674.591606281,bev_projection,1123.436
1774797675.791509974,pointcloud_player,0.989
1774797675.791509974,cluster_detector,3.743
1774797674.791457470,bev_projection,1099.847
1774797675.891803658,pointcloud_player,4.415
1774797675.891803658,cluster_detector,10.815
1774797675.991518007,pointcloud_player,0.740
1774797675.991518007,cluster_detector,3.578
1774797674.891509142,bev_projection,1175.856
1774797676.091496505,pointcloud_player,0.807
1774797676.091496505,cluster_detector,3.243
1774797676.191490334,pointcloud_player,0.802
1774797676.191490334,cluster_detector,4.206
1774797675.091532309,bev_projection,1147.362
1774797676.291627245,pointcloud_player,1.006
1774797676.291627245,cluster_detector,3.881
1774797676.391498473,pointcloud_player,0.937
1774797676.391498473,cluster_detector,4.041
1774797675.291517774,bev_projection,1115.798
